index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse
1,CanalOlympia Wologuèdè,Cinéma,"4,2 (2 842)",11936.4,N/A,canalolympia.com,9CG7+7QX Maison du Peuple
2,Le Majestic Gbégamey ( Salle des Fêtes ),Salle de réception,"4,1 (48)",196.8,95 06 72 94,N/A,67 22 21 21
3,Le Majestic Cadjehoun ( Salle des Fêtes ),Salle de banquet,"4,0 (270)",1080.0,95 06 77 91,N/A,BP8056
4,Dream Center,Salle de banquet,"4,5 (17)",76.5,N/A,N/A,N/A
5,Festival Lagunimages,Cinéma en plein air,N/A N/A,0,97 98 26 01,festival-lagunimages.com,N/A
6,CINE LE BENIN,Cinéma,"3,4 (21)",71.4,N/A,N/A,"9C6F+M2P, Boulevard Saint Michel"
7,Le Majestic,,"4,0 (35)",140.0,N/A,N/A,996W+FCR
8,LES HORTENSIAS,Salle de réception,"3,9 (45)",175.5,N/A,N/A,"9F54+WRH, Rue 1757"
9,Location appartement et salle de fêtes kp10,Complexe d'appartements meublés,N/A N/A,0,62 52 15 32,N/A,N/A
10,Cinéma OKPE OLUWA,Cinéma,"4,0 (1)",4.0,N/A,N/A,9CF7+XH
11,Elim - Salle Des Fêtes,Festival hall,"4,0 (121)",484.0,67 67 46 81,N/A,Rue 1140A
12,DIVA Events,,"4,0 (2)",8.0,N/A,N/A,9CF7+92J
13,Belle Vie (Salle De Fête),,N/A N/A,0,65 97 98 29,N/A,9C84+5J9
14,Salle Spera,Salle de danse,"3,8 (38)",144.4,97 59 09 49,N/A,9C67+MQ6
15,IFE PALACE,Festival hall,"4,0 (109)",436.0,94 94 01 50,N/A,"9F6W+455, Rue 1368"
16,Josué Salle De Foot,Cinéma,"3,5 (17)",59.5,67 30 76 25,N/A,"agla von filaho 130m à droite, Cotonou"
17,Le Majestic Cadjehoun Salle des Fêtes,Bar,"4,4 (21)",92.4,N/A,N/A,1117 Rue 954B
18,Palace Royal,,"4,0 (106)",424.0,95 94 41 17,N/A,99QM+G55
19,PARA PHARM,Centre social,"3,7 (11)",40.7,62 57 39 51,N/A,"9C9H+CQG, Rue 502"
20,Junior Hrm Disneyland,Cinéma en plein air,N/A N/A,0,90 82 97 82,N/A,Sacré cœur
21,Salle des fêtes:HOLLYWOOD City,,"4,1 (19)",77.9,97 78 31 12,N/A,99H9+2HQ
22,DAC CINEMA PROD,Cinéma,N/A N/A,0,97 29 37 86,N/A,N/A
23,Beprod Bénin,Cinéma,"3,0 (1)",3.0,98 39 66 66,N/A,9C96+XVW
24,MOON FITNESS CLUB,Salle de gym,"4,4 (36)",158.4,97 61 03 03,N/A,0632
25,FEMMES AGODJIE,Cinéma,"3,0 (1)",3.0,N/A,femmes-agodjie.business.site,25 Ctn
26,"Hall des Arts, Loisirs et Sports",Salle de spectacles,"3,8 (1 445)",5491.0,21 30 35 28,N/A,Boulevard Saint Michel
27,LA BELLE ÉPOQUE,Salle de banquet,"3,9 (31)",120.9,99 26 41 42,N/A,99RQ+8CG
28,Salle de fête LE PRESTIGIEUX,,"4,0 (112)",448.0,94 03 14 14,facebook.com,"996H+2QM, Unnamed Road"
29,Salle des fêtes - Espace La Grâce,Salle de banquet,N/A N/A,0,97 74 89 11,N/A,"9C58+G2V, Rue 813"
30,Funny world,Salle de réception,N/A N/A,0,N/A,N/A,Jack
31,Salle des fêtes ESPACE O,Festival hall,"4,3 (30)",129.0,66 64 32 57,N/A,Rue 2137
32,Le Majestic Salle de Banquet Fidjrossè,Salle de banquet,"4,2 (78)",327.6,95 06 77 91,N/A,02BP8056
33,pasfacil,Cinéma,"5,0 (1)",5.0,N/A,N/A,229
34,River Side,Salle de réception,"4,0 (28)",112.0,N/A,N/A,"9CGQ+WQ7, Unnamed Road"
35,Compagnie chryst comédie,Cinéma,"4,5 (2)",9.0,99 26 03 37,N/A,229
36,Royal Cinéma,Cinéma,"4,7 (55)",258.5,97 00 98 22,business.site,"ATROKPOCODJI, 00229"
37,Siege Du Fitheb Ex Cine Vog,Amphithéâtre,"5,0 (1)",5.0,N/A,N/A,9C5P+QGF
38,Salle de Fête LE FESTIN,Salle de banquet,N/A N/A,0,N/A,N/A,"9CJV+FRF, Rue 1448"
39,Salledes Fêtes Hostensias,Salle de réception,N/A N/A,0,N/A,N/A,"9F54+XV8, Rue 1757"
40,Espace La Grâce,Salle de banquet,N/A N/A,0,N/A,N/A,"9C59+3GQ, Av. du Gouverneur Van VollenHoven"
41,Salle des fêtes,,N/A N/A,0,N/A,N/A,99JH+6G6
